TransDate
2018-08-20 10:40:37.270
2018-08-20 10:41:13.967
2018-08-20 10:43:09.520
2018-08-20 10:43:46.573
2018-08-25 10:44:27.400
2018-08-20 10:45:10.687
2018-08-20 10:45:52.653
2018-08-20 10:46:32.500
2018-08-20 10:47:12.020
2018-08-20 10:47:50.543
2018-08-20 13:09:01.040
2018-08-20 13:09:05.860
2018-08-20 13:09:10.753
2018-08-20 13:10:48.133
2018-08-20 13:10:53.243
2018-08-20 13:10:57.507
2018-08-20 13:12:12.457
2018-08-20 13:12:17.123
2018-08-20 13:12:21.970
2018-08-20 13:13:13.543
2018-08-20 13:13:18.127
2018-08-20 13:13:22.643
2018-08-20 13:14:17.773
2018-08-20 13:14:23.137
2018-08-20 13:14:28.207
2018-08-20 13:15:24.440
2018-08-20 13:15:28.803
2018-08-20 13:15:33.693
2018-08-20 13:20:03.840
2018-08-20 13:20:10.987
2018-08-20 13:20:19.610
2018-08-20 13:21:36.003
2018-08-20 13:21:44.327
2018-08-20 13:21:51.980
2018-08-20 13:50:05.227
2018-08-20 13:50:10.690
2018-08-20 13:50:15.433
2018-08-20 13:51:12.583
2018-08-20 13:51:18.017
2018-08-20 13:51:22.430
2018-08-20 13:55:01.687
2018-08-20 13:55:05.867
2018-08-20 13:55:09.150
2018-08-20 13:56:32.683
2018-08-20 13:56:37.433
2018-08-20 13:56:40.907
2018-08-20 14:00:07.317
2018-08-20 14:00:13.720
2018-08-20 14:00:15.593
2018-08-20 14:01:34.000
2018-08-20 14:01:38.387
2018-08-20 14:01:41.307
2018-08-20 14:05:46.573
2018-08-20 14:05:50.690
2018-08-20 14:05:53.567
2018-08-20 14:17:15.777
2018-08-20 14:17:20.210
2018-08-20 14:17:23.050
2018-08-21 07:40:53.940
2018-08-21 10:17:26.127
2018-08-21 10:18:17.483
2018-08-21 10:19:02.677
2018-08-21 10:19:55.313
2018-08-21 13:06:59.750
2018-08-21 13:39:54.260
2018-08-22 07:30:13.187
2018-08-22 07:57:22.047
2018-08-22 07:57:26.960
2018-08-22 07:57:31.610
2018-08-22 07:59:09.767
2018-08-22 07:59:15.227
2018-08-22 07:59:19.873
2018-08-22 08:00:17.160
2018-08-22 08:00:22.293
2018-08-22 08:00:26.477
2018-08-22 08:08:55.267
2018-08-22 08:09:02.643
2018-08-22 08:09:09.890
2018-08-22 08:09:39.663
2018-08-22 08:09:49.433
2018-08-22 08:09:57.217
2018-08-22 08:10:23.300
2018-08-22 08:10:35.023
2018-08-22 08:10:43.227
2018-08-22 08:11:06.773
2018-08-22 08:11:18.500
2018-08-22 08:11:26.793
2018-08-22 08:11:50.477
2018-08-22 08:12:00.103
2018-08-22 08:12:08.707
2018-08-22 08:12:32.663
2018-08-22 08:12:43.273
2018-08-22 08:12:52.000
2018-08-22 08:13:16.140
2018-08-22 08:13:27.823
2018-08-22 08:13:36.063
2018-08-22 08:13:59.077
2018-08-22 08:14:09.317
2018-08-22 08:14:19.810
2018-08-22 08:14:42.153
2018-08-22 08:14:52.973
2018-08-22 08:15:02.423
2018-08-22 08:15:24.607
2018-08-22 08:15:35.553
2018-08-22 08:15:46.867
2018-08-22 08:18:26.617
2018-08-22 08:18:32.007
2018-08-22 08:18:36.620
2018-08-22 08:19:07.103
2018-08-22 08:19:13.503
2018-08-22 08:19:18.057
2018-08-22 08:19:48.503
2018-08-22 08:19:55.287
2018-08-22 08:20:00.237
2018-08-22 08:20:28.287
2018-08-22 08:20:35.917
2018-08-22 08:20:41.067
2018-08-22 08:21:07.770
2018-08-22 08:21:14.590
2018-08-22 08:21:19.477
2018-08-22 08:21:46.993
2018-08-22 08:21:53.663
2018-08-22 08:21:57.673
2018-08-22 08:22:26.120
2018-08-22 08:22:32.833
2018-08-22 08:22:37.227
2018-08-22 08:23:04.887
2018-08-22 08:23:12.503
2018-08-22 08:23:16.120
2018-08-22 08:23:43.027
2018-08-22 08:23:50.530
2018-08-22 08:23:54.747
2018-08-22 08:24:21.167
2018-08-22 08:24:29.720
2018-08-22 08:24:34.370
2018-08-22 08:49:23.673
2018-08-22 08:49:28.347
2018-08-22 08:49:32.013
2018-08-22 08:50:02.283
2018-08-22 08:50:07.483
2018-08-22 08:50:11.143
2018-08-22 08:50:37.990
2018-08-22 08:50:44.737
2018-08-22 08:50:48.080
2018-08-22 08:51:14.153
2018-08-22 08:51:21.140
2018-08-22 08:51:24.453
2018-08-22 08:51:49.683
2018-08-22 08:51:56.500
2018-08-22 08:52:00.870
2018-08-22 08:52:24.900
